Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10µF","C_0805_2012Metric",124.750000,-131.780000,0.000000,top
"C2","100nF","C_0402_1005Metric",128.250000,-132.000000,0.000000,top
"C3","10µF","C_0805_2012Metric",124.800000,-129.200000,0.000000,top
"C4","100nF","C_0402_1005Metric",121.500000,-130.500000,0.000000,top
"C5","100nF","C_0402_1005Metric",128.250000,-129.250000,0.000000,top
"C6","56pF","C_0402_1005Metric",121.520000,-129.000000,0.000000,top
"J1","DISPLAY","PinHeader_1x08_P2.54mm_Vertical",115.250000,-76.100000,90.000000,top
"R1","5.1k","R_0402_1005Metric",121.750000,-127.500000,0.000000,top
"R2","5.1k","R_0402_1005Metric",128.240000,-127.610000,0.000000,top
"R3","10k","R_0402_1005Metric",126.250000,-126.500000,180.000000,top
"R4","10k","R_0402_1005Metric",121.500000,-132.000000,0.000000,top
"R5","4.7k","R_0402_1005Metric",123.750000,-126.500000,0.000000,top
"R6","4.7k","R_0402_1005Metric",124.750000,-134.000000,0.000000,top
"R7","10k","R_0402_1005Metric",128.250000,-130.500000,180.000000,top
"SW1","Reset","SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm",146.780000,-131.470000,0.000000,top
"SW2","Boot","SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm",136.820000,-131.440000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",115.350000,-130.750000,0.000000,top
"U2","ESP32-S3-WROOM-1","WIRELM-SMD_ESP32-S3-WROOM-1",162.830000,-116.140000,180.000000,top
"U3","NT3H2111W0FHKH","XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH",129.000000,-135.350000,0.000000,top
"USB1","TYPE-C 16PIN 2MD","USB-C-SMD_TYPE-C-16PIN-2MD-073",183.460000,-132.927500,0.000000,top
